kingdom,phylum,class,order,family,genus
Eukaryota,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Amyloodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Pfiesteria
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo
Eukaryota,Dinoflagellata,Dinophyceae,Lophodiniales,Lophodiniaceae,Biecheleriopsis
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Leiocephalium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Biecheleriaceae,Biecheleria
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Asulcocephalium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Gertia
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Tovelliaceae,Esoptrodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Calciodinellum
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Ostreopsis
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Leonella
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniopsidaceae,Parvodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium
Eukaryota,Dinoflagellata,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnoxanthella
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Islandinium
Eukaryota,Dinoflagellata,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya
Eukaryota,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Ornithocercus
Eukaryota,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis
Eukaryota,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Histioneis
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Duboscquodinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Bysmatrum
Eukaryota,Dinoflagellata,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca
Eukaryota,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Phalacroma
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Cryptoperidiniopsis
Eukaryota,Dinoflagellata,Dinophyceae,Phytodiniales,Phytodiniaceae,Spiniferodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodiniellum
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Amphidomataceae,Azadinium
Eukaryota,Dinoflagellata,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Pelagodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Stoeckeria
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa
Eukaryota,Dinoflagellata,Dinophyceae,Lophodiniales,Lophodiniaceae,Woloszynskia
Eukaryota,Dinoflagellata,Dinophyceae,Pyrocystales,Pyrocystaceae,Dissodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Thoracosphaera
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Pentapharsodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratocoryaceae,Ceratocorys
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniopsidaceae,Palatinus
Eukaryota,Dinoflagellata,Dinophyceae,Syndiniales,Syndiniaceae,Hematodinium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Piscinoodinium
Eukaryota,Dinoflagellata,Dinophyceae,Syndiniales,Syndiniaceae,Syndinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Chimonodinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Pernambugia
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Protoceratium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Coolia
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Tovelliaceae,Katodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Brachidiniaceae,Asterodinium
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Amphidomataceae,Amphidoma
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Diplopsaliaceae,Diplopsalis
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Syltodinium
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Apocalathium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Polarella
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Protodinium
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Borghiellaceae,Borghiella
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Calciodinellaceae,Posoniella
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Pseudopfiesteria
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Luciella
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia
Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Ansanella
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Brachidiniaceae,Brachidinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniopsidaceae,Peridiniopsis
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Barrufeta
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Takayama
Eukaryota,Dinoflagellata,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Naiadinium
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Oxytoxaceae,Thecadinium
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Fukuyoa
