Clade,Type,Gene,Isolate,Methodology,Genbank,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Host_Sci_Name,Environment,Ocean,Country,StateRegion,SubRegion,Locale,Latitude,Longitude,Coordinate_Precision,Min_Depth,Max_Depth,Start_Year_Collect,End_Year_Collect,Ref,Redundancy,Species,Potential_Pseudogene_Ref
A,A1,ITS,HPiH-1,sequencing,AB097463,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Pteraeolidia,ianthina,Pteraeolidia ianthina,culture,Pacific,Japan,Kanagawa; Hayama,N_A,N_A,35.2679528,139.5660417,3500,N_A,N_A,N_A,N_A,Ishikura_2004_Mar_Biotech_6_378,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS,Five0504,cloning,AB253789,Cnidaria,Anthozoa,Zoanthidea,Zoanthidae,Zoanthus,vietnamensis,Zoanthus vietnamensis,in hospite,Pacific,Japan,Kagoshima,Sakurajima,Hakamagoshi,31.35,130.35,15000,3,3,2005,2005,Reimer_2007_Phycol_Res_55_58,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,N_A,DGGE,AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,culture,Caribbean,United States,Florida,N_A,N_A,27.5,-81.5,750000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,N_A,Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS,culture (Cx),sequencing,AF427466,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,culture,Caribbean,Jamaica,N_A,N_A,N_A,18.13265,-77.2958889,125000,N_A,N_A,N_A,N_A,Santos_2002_Mol_Phylogenet_Evol_23_97,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS,C20B-J,sequencing,AJ311946,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,in hospite,Red Sea,Israel,Gulf of Aqaba,Eilat,N_A,29.5497306,34.9562056,2500,N_A,N_A,1999,1999,Pochon_2001_Mar_Biol_139_1069,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS,C3B-J,sequencing,AJ311947,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,sp.,Acropora sp.,in hospite,Red Sea,Israel,Gulf of Aqaba,Eilat,N_A,29.5497306,34.9562056,2500,N_A,N_A,1999,1999,Pochon_2001_Mar_Biol_139_1069,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,N_A,DGGE,same_as_AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,andromeda,Cassiopea andromeda,culture,Red Sea,Israel,Gulf of Aqaba,Eilat,N_A,29.5497306,34.9562056,5000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,N_A,DGGE,same_as_AF333505,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,Stylophora pistillata,culture,Red Sea,Israel,Gulf of Aqaba,Eilat,N_A,29.5497306,34.9562056,5000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,N_A,DGGE,same_as_AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,in hospite,Caribbean,Mexico,Quintana Roo,Puerto Morelos,N_A,20.5,-86.52,4000,0.5,0.5,1998,1999,LaJeunesse_2002_Mar_Biol_141_387,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,N_A,cloning,same_as_AF333505,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,in hospite,Pacific,United States,Hawaiian Islands,French Frigate Shoals,N_A,23.8496833,-166.2974333,100,15,20,2005,2005,Stat_2008_Biol_Invasions_10_579,N_A,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
